0,0,2,1,3,1,a0U
0,0,2,1,3,2,a0R
0,0,2,1,3,3,a0U
0,0,2,1,4,0,a0U
0,0,2,1,4,1,a0U
0,0,2,1,4,2,a0R
0,0,2,1,4,3,a0U
0,0,2,1,5,0,a0U
0,0,2,1,5,1,a0U
0,0,2,1,5,2,a0R
0,0,2,1,5,3,a0U
0,0,2,1,6,0,a0U
0,0,2,1,6,1,a0U
0,0,2,1,6,2,a0R
0,0,2,1,6,3,a0U
0,0,2,1,7,0,a0U
0,0,2,1,7,1,a0U
0,0,2,1,7,2,a0R
0,0,2,1,7,3,a0U
0,0,2,1,8,0,a0U
0,0,2,1,8,1,a0U
0,0,2,1,8,2,a0R
0,0,2,1,8,3,a0U
0,0,2,1,9,0,a0U
0,0,2,1,9,1,a0U
0,0,2,1,9,2,a0R
0,0,2,1,9,3,a0U
0,0,2,2,0,0,a0L
0,0,2,2,0,1,a0L
0,0,2,2,0,2,a0L
0,0,2,2,0,3,a0L
0,0,2,2,1,0,a0L
0,0,2,2,1,1,a0L
0,0,2,2,1,2,a0L
0,0,2,2,1,3,a0R
0,0,2,2,2,0,a0L
0,0,2,2,2,1,a0U
0,0,2,2,2,2,a0U
0,0,2,2,2,3,a0L
0,0,2,2,3,0,a0U
0,0,2,2,3,1,a0U
0,0,2,2,3,2,a0U
0,0,2,2,3,3,a0U
0,0,2,2,4,0,a0U
0,0,2,2,4,1,a0U
0,0,2,2,4,2,a0U
0,0,2,2,4,3,a0U
0,0,2,2,5,0,a0R
0,0,2,2,5,1,a0R
0,0,2,2,5,2,a0U
0,0,2,2,5,3,a0U
0,0,2,2,6,0,a0U
0,0,2,2,6,1,a0U
0,0,2,2,6,2,a0U
0,0,2,2,6,3,a0U
0,0,2,2,7,0,a0R
0,0,2,2,7,1,a0R
0,0,2,2,7,2,a0U
0,0,2,2,7,3,a0R
0,0,2,2,8,0,a0R
0,0,2,2,8,1,a0R
0,0,2,2,8,2,a0U
0,0,2,2,8,3,a0R
0,0,2,2,9,0,a0U
0,0,2,2,9,1,a0U
0,0,2,2,9,2,a0U
0,0,2,2,9,3,a0U
0,0,2,3,0,0,a0L
0,0,2,3,0,1,a0L
0,0,2,3,0,2,a0L
0,0,2,3,0,3,a0L
0,0,2,3,1,0,a0L
0,0,2,3,1,1,a0L
0,0,2,3,1,2,a0L
0,0,2,3,1,3,a0R
0,0,2,3,2,0,a0U
0,0,2,3,2,1,a0R
0,0,2,3,2,2,a0L
0,0,2,3,2,3,a0L
0,0,2,3,3,0,a0b1
0,0,2,3,3,1,a0b1
0,0,2,3,3,2,a0a1
0,0,2,3,3,3,a0U
0,0,2,3,4,0,a0b0
0,0,2,3,4,1,a0b1
0,0,2,3,4,2,a0R
0,0,2,3,4,3,a0U
0,0,2,3,5,0,a0U
0,0,2,3,5,1,a0U
0,0,2,3,5,2,a0U
0,0,2,3,5,3,a0U
0,0,2,3,6,0,a0b1
0,0,2,3,6,1,a0b1
0,0,2,3,6,2,a0a1
0,0,2,3,6,3,a0b1
0,0,2,3,7,0,a0U
0,0,2,3,7,1,a0U
0,0,2,3,7,2,a0a1
0,0,2,3,7,3,a0U
0,0,2,3,8,0,a0U
0,0,2,3,8,1,a0U
0,0,2,3,8,2,a0a1
0,0,2,3,8,3,a0U
0,0,2,3,9,0,a0U
0,0,2,3,9,1,a0U
0,0,2,3,9,2,a0R
0,0,2,3,9,3,a0U
0,0,2,4,0,0,a0L
0,0,2,4,0,1,a0L
0,0,2,4,0,2,a0L
0,0,2,4,0,3,a0L
0,0,2,4,1,0,a0L
0,0,2,4,1,1,a0L
0,0,2,4,1,2,a0L
0,0,2,4,1,3,a0R
0,0,2,4,2,0,a0L
0,0,2,4,2,1,a0L
0,0,2,4,2,2,a0L
0,0,2,4,2,3,a0L
0,0,2,4,3,0,a0L
0,0,2,4,3,1,a0L
0,0,2,4,3,2,a0U
0,0,2,4,3,3,a0R
0,0,2,4,4,0,a0b0
0,0,2,4,4,1,a0U
0,0,2,4,4,2,a0U
0,0,2,4,4,3,a0b1
0,0,2,4,5,0,a0b1
0,0,2,4,5,1,a0b1
0,0,2,4,5,2,a0U
0,0,2,4,5,3,a0U
0,0,2,4,6,0,a0U
0,0,2,4,6,1,a0U
0,0,2,4,6,2,a0U
0,0,2,4,6,3,a0U
0,0,2,4,7,0,a0U
0,0,2,4,7,1,a0U
0,0,2,4,7,2,a0U
0,0,2,4,7,3,a0U
0,0,2,4,8,0,a0U
0,0,2,4,8,1,a0U
0,0,2,4,8,2,a0b1
0,0,2,4,8,3,a0U
0,0,2,4,9,0,a0U
0,0,2,4,9,1,a0U
0,0,2,4,9,2,a0U
0,0,2,4,9,3,a0U
0,0,2,5,0,0,a0L
0,0,2,5,0,1,a0L
0,0,2,5,0,2,a0L
0,0,2,5,0,3,a0L
0,0,2,5,1,0,a0L
0,0,2,5,1,1,a0L
0,0,2,5,1,2,a0L
0,0,2,5,1,3,a0R
0,0,2,5,2,0,a0U
0,0,2,5,2,1,a0U
0,0,2,5,2,2,a0b0
0,0,2,5,2,3,a0L
0,0,2,5,3,0,a0L
0,0,2,5,3,1,a0L
0,0,2,5,3,2,a0L
0,0,2,5,3,3,a0L
0,0,2,5,4,0,a0L
0,0,2,5,4,1,a0L
0,0,2,5,4,2,a0b1
0,0,2,5,4,3,a0L
0,0,2,5,5,0,a0L
0,0,2,5,5,1,a0b1
0,0,2,5,5,2,a0b1
0,0,2,5,5,3,a0b1
0,0,2,5,6,0,a0U
0,0,2,5,6,1,a0U
0,0,2,5,6,2,a0b1
0,0,2,5,6,3,a0U
0,0,2,5,7,0,a0U
0,0,2,5,7,1,a0U
0,0,2,5,7,2,a0U
0,0,2,5,7,3,a0U
0,0,2,5,8,0,a0U
0,0,2,5,8,1,a0U
0,0,2,5,8,2,a0U
0,0,2,5,8,3,a0U
0,0,2,5,9,0,a0U
0,0,2,5,9,1,a0U
0,0,2,5,9,2,a0U
0,0,2,5,9,3,a0U
0,0,2,6,0,0,a0L
0,0,2,6,0,1,a0L
0,0,2,6,0,2,a0L
0,0,2,6,0,3,a0L
0,0,2,6,1,0,a0L
0,0,2,6,1,1,a0L
0,0,2,6,1,2,a0L
0,0,2,6,1,3,a0R
0,0,2,6,2,0,a0L
0,0,2,6,2,1,a0L
0,0,2,6,2,2,a0L
0,0,2,6,2,3,a0L
0,0,2,6,3,0,a0b1
0,0,2,6,3,1,a0b1
0,0,2,6,3,2,a0L
0,0,2,6,3,3,a0b0
0,0,2,6,4,0,a0L
0,0,2,6,4,1,a0L
0,0,2,6,4,2,a0L
0,0,2,6,4,3,a0L
0,0,2,6,5,0,a0L
0,0,2,6,5,1,a0L
0,0,2,6,5,2,a0b1
0,0,2,6,5,3,a0L
0,0,2,6,6,0,a0U
0,0,2,6,6,1,a0U
0,0,2,6,6,2,a0b1
0,0,2,6,6,3,a0b1
0,0,2,6,7,0,a0b1
0,0,2,6,7,1,a0b1
0,0,2,6,7,2,a0U
0,0,2,6,7,3,a0U
0,0,2,6,8,0,a0U
0,0,2,6,8,1,a0U
0,0,2,6,8,2,a0U
0,0,2,6,8,3,a0U
0,0,2,6,9,0,a0U
0,0,2,6,9,1,a0U
0,0,2,6,9,2,a0U
0,0,2,6,9,3,a0U
0,0,2,7,0,0,a0L
0,0,2,7,0,1,a0L
0,0,2,7,0,2,a0L
0,0,2,7,0,3,a0L
0,0,2,7,1,0,a0L
0,0,2,7,1,1,a0L
0,0,2,7,1,2,a0L
0,0,2,7,1,3,a0R
0,0,2,7,2,0,a0U
0,0,2,7,2,1,a0R
0,0,2,7,2,2,a0R
0,0,2,7,2,3,a0L
0,0,2,7,3,0,a0L
0,0,2,7,3,1,a0L
0,0,2,7,3,2,a0L
0,0,2,7,3,3,a0b0
0,0,2,7,4,0,a0L
0,0,2,7,4,1,a0L
0,0,2,7,4,2,a0L
0,0,2,7,4,3,a0L
0,0,2,7,5,0,a0L
0,0,2,7,5,1,a0L
0,0,2,7,5,2,a0L
0,0,2,7,5,3,a0L
0,0,2,7,6,0,a0L
0,0,2,7,6,1,a0L
0,0,2,7,6,2,a0L
0,0,2,7,6,3,a0L
0,0,2,7,7,0,a0b1
0,0,2,7,7,1,a0b1
0,0,2,7,7,2,a0b1
0,0,2,7,7,3,a0U
0,0,2,7,8,0,a0U
0,0,2,7,8,1,a0U
0,0,2,7,8,2,a0b1
0,0,2,7,8,3,a0b1
0,0,2,7,9,0,a0U
0,0,2,7,9,1,a0U
0,0,2,7,9,2,a0U
0,0,2,7,9,3,a0U
0,0,2,8,0,0,a0L
0,0,2,8,0,1,a0L
0,0,2,8,0,2,a0L
0,0,2,8,0,3,a0L
0,0,2,8,1,0,a0L
0,0,2,8,1,1,a0L
0,0,2,8,1,2,a0L
0,0,2,8,1,3,a0R
0,0,2,8,2,0,a0R
0,0,2,8,2,1,a0R
0,0,2,8,2,2,a0R
0,0,2,8,2,3,a0L
0,0,2,8,3,0,a0L
0,0,2,8,3,1,a0L
0,0,2,8,3,2,a0L
0,0,2,8,3,3,a0U
0,0,2,8,4,0,a0L
0,0,2,8,4,1,a0L
0,0,2,8,4,2,a0L
0,0,2,8,4,3,a0L
0,0,2,8,5,0,a0L
0,0,2,8,5,1,a0L
0,0,2,8,5,2,a0L
0,0,2,8,5,3,a0L
0,0,2,8,6,0,a0L
0,0,2,8,6,1,a0L
0,0,2,8,6,2,a0L
0,0,2,8,6,3,a0L
0,0,2,8,7,0,a0L
0,0,2,8,7,1,a0L
0,0,2,8,7,2,a0b1
0,0,2,8,7,3,a0L
0,0,2,8,8,0,a0b1
0,0,2,8,8,1,a0b1
0,0,2,8,8,2,a0b1
0,0,2,8,8,3,a0b1
0,0,2,8,9,0,a0U
0,0,2,8,9,1,a0U
0,0,2,8,9,2,a0U
0,0,2,8,9,3,a0U
0,0,2,9,0,0,a0L
0,0,2,9,0,1,a0L
0,0,2,9,0,2,a0L
0,0,2,9,0,3,a0L
0,0,2,9,1,0,a0L
0,0,2,9,1,1,a0L
0,0,2,9,1,2,a0L
0,0,2,9,1,3,a0R
0,0,2,9,2,0,a0L
0,0,2,9,2,1,a0L
0,0,2,9,2,2,a0L
0,0,2,9,2,3,a0L
0,0,2,9,3,0,a0L
0,0,2,9,3,1,a0L
0,0,2,9,3,2,a0L
0,0,2,9,3,3,a0U
0,0,2,9,4,0,a0L
0,0,2,9,4,1,a0L
0,0,2,9,4,2,a0L
0,0,2,9,4,3,a0L
0,0,2,9,5,0,a0L
0,0,2,9,5,1,a0L
0,0,2,9,5,2,a0L
0,0,2,9,5,3,a0L
0,0,2,9,6,0,a0L
0,0,2,9,6,1,a0L
0,0,2,9,6,2,a0L
0,0,2,9,6,3,a0L
0,0,2,9,7,0,a0L
0,0,2,9,7,1,a0L
0,0,2,9,7,2,a0L
0,0,2,9,7,3,a0L
0,0,2,9,8,0,a0L
0,0,2,9,8,1,a0L
0,0,2,9,8,2,a0b1
0,0,2,9,8,3,a0L
0,0,2,9,9,0,a0b1
0,0,2,9,9,1,a0b1
0,0,2,9,9,2,a0b1
0,0,2,9,9,3,a0b1
0,0,3,0,1,0,a0b1
0,0,3,0,1,1,a0b1
0,0,3,0,1,2,a0b1
0,0,3,0,1,3,a0b1
0,0,3,0,2,0,a0R
0,0,3,0,2,1,a0R
0,0,3,0,2,2,a0R
0,0,3,0,2,3,a0R
0,0,3,0,3,0,a0R
0,0,3,0,3,1,a0R
0,0,3,0,3,2,a0R
0,0,3,0,3,3,a0R
0,0,3,0,4,0,a0R
0,0,3,0,4,1,a0R
0,0,3,0,4,2,a0R
0,0,3,0,4,3,a0R
0,0,3,0,5,0,a0R
0,0,3,0,5,1,a0R
0,0,3,0,5,2,a0R
0,0,3,0,5,3,a0R
0,0,3,0,6,0,a0R
0,0,3,0,6,1,a0R
0,0,3,0,6,2,a0R
0,0,3,0,6,3,a0R
0,0,3,0,7,0,a0R
0,0,3,0,7,1,a0R
0,0,3,0,7,2,a0R
0,0,3,0,7,3,a0R
0,0,3,0,8,0,a0R
0,0,3,0,8,1,a0R
0,0,3,0,8,2,a0R
0,0,3,0,8,3,a0R
0,0,3,0,9,0,a0R
0,0,3,0,9,1,a0R
0,0,3,0,9,2,a0R
0,0,3,0,9,3,a0R
0,0,3,1,0,0,a0U
0,0,3,1,0,1,a0U
0,0,3,1,0,2,a0U
0,0,3,1,0,3,a0U
0,0,3,1,1,0,a0U
0,0,3,1,1,1,a0R
0,0,3,1,1,2,a0a1
0,0,3,1,1,3,a0a1
0,0,3,1,2,0,a0R
0,0,3,1,2,1,a0R
0,0,3,1,2,2,a0R
0,0,3,1,2,3,a0R
0,0,3,1,3,0,a0R
0,0,3,1,3,1,a0R
0,0,3,1,3,2,a0R
0,0,3,1,3,3,a0R
0,0,3,1,4,0,a0R
0,0,3,1,4,1,a0R
0,0,3,1,4,2,a0R
0,0,3,1,4,3,a0R
0,0,3,1,5,0,a0R
0,0,3,1,5,1,a0R
0,0,3,1,5,2,a0R
0,0,3,1,5,3,a0R
0,0,3,1,6,0,a0R
0,0,3,1,6,1,a0R
0,0,3,1,6,2,a0R
0,0,3,1,6,3,a0R
0,0,3,1,7,0,a0R
0,0,3,1,7,1,a0R
0,0,3,1,7,2,a0R
0,0,3,1,7,3,a0R
0,0,3,1,8,0,a0R
0,0,3,1,8,1,a0R
0,0,3,1,8,2,a0R
0,0,3,1,8,3,a0R
0,0,3,1,9,0,a0R
0,0,3,1,9,1,a0R
0,0,3,1,9,2,a0R
0,0,3,1,9,3,a0R
0,0,3,2,0,0,a0U
0,0,3,2,0,1,a0U
0,0,3,2,0,2,a0U
0,0,3,2,0,3,a0U
0,0,3,2,1,0,a0U
0,0,3,2,1,1,a0U
0,0,3,2,1,2,a0U
0,0,3,2,1,3,a0R
0,0,3,2,2,0,a0U
0,0,3,2,2,1,a0R
0,0,3,2,2,2,a0R
0,0,3,2,2,3,a0U
0,0,3,2,3,0,a0U
0,0,3,2,3,1,a0R
0,0,3,2,3,2,a0R
0,0,3,2,3,3,a0R
0,0,3,2,4,0,a0R
0,0,3,2,4,1,a0R
0,0,3,2,4,2,a0R
0,0,3,2,4,3,a0R
0,0,3,2,5,0,a0U
0,0,3,2,5,1,a0U
0,0,3,2,5,2,a0R
0,0,3,2,5,3,a0a1
0,0,3,2,6,0,a0R
0,0,3,2,6,1,a0R
0,0,3,2,6,2,a0R
0,0,3,2,6,3,a0R
0,0,3,2,7,0,a0U
0,0,3,2,7,1,a0U
0,0,3,2,7,2,a0R
0,0,3,2,7,3,a0U
0,0,3,2,8,0,a0U
0,0,3,2,8,1,a0U
0,0,3,2,8,2,a0R
0,0,3,2,8,3,a0U
0,0,3,2,9,0,a0R
0,0,3,2,9,1,a0R
0,0,3,2,9,2,a0R
0,0,3,2,9,3,a0R
0,0,3,3,0,0,a0U
0,0,3,3,0,1,a0U
0,0,3,3,0,2,a0U
0,0,3,3,0,3,a0U
0,0,3,3,1,0,a0U
0,0,3,3,1,1,a0U
0,0,3,3,1,2,a0U
0,0,3,3,1,3,a0R
0,0,3,3,2,0,a0R
0,0,3,3,2,1,a0L
0,0,3,3,2,2,a0U
0,0,3,3,2,3,a0U
0,0,3,3,3,0,a0b1
0,0,3,3,3,1,a0b1
0,0,3,3,3,2,a0a1
0,0,3,3,3,3,a0b0
0,0,3,3,4,0,a0b1
0,0,3,3,4,1,a0R
0,0,3,3,4,2,a0L
0,0,3,3,4,3,a0R
0,0,3,3,5,0,a0R
0,0,3,3,5,1,a0b1
0,0,3,3,5,2,a0a1
0,0,3,3,5,3,a0R
0,0,3,3,6,0,a0b1
0,0,3,3,6,1,a0b1
0,0,3,3,6,2,a0a1
0,0,3,3,6,3,a0b1
0,0,3,3,7,0,a0R
0,0,3,3,7,1,a0R
0,0,3,3,7,2,a0a1
0,0,3,3,7,3,a0R
0,0,3,3,8,0,a0R
0,0,3,3,8,1,a0R
0,0,3,3,8,2,a0a1
0,0,3,3,8,3,a0R
0,0,3,3,9,0,a0R
0,0,3,3,9,1,a0R
0,0,3,3,9,2,a0U
0,0,3,3,9,3,a0R
0,0,3,4,0,0,a0U
0,0,3,4,0,1,a0U
0,0,3,4,0,2,a0U
0,0,3,4,0,3,a0U
0,0,3,4,1,0,a0U
0,0,3,4,1,1,a0U
0,0,3,4,1,2,a0U
0,0,3,4,1,3,a0R
0,0,3,4,2,0,a0U
0,0,3,4,2,1,a0U
0,0,3,4,2,2,a0U
0,0,3,4,2,3,a0U
0,0,3,4,3,0,a0U
0,0,3,4,3,1,a0U
0,0,3,4,3,2,a0U
0,0,3,4,3,3,a0L
0,0,3,4,4,0,a0b1
0,0,3,4,4,1,a0b1
0,0,3,4,4,2,a0R
0,0,3,4,4,3,a0U
0,0,3,4,5,0,a0R
0,0,3,4,5,1,a0R
0,0,3,4,5,2,a0R
0,0,3,4,5,3,a0R
0,0,3,4,6,0,a0R
0,0,3,4,6,1,a0R
0,0,3,4,6,2,a0b1
0,0,3,4,6,3,a0R
0,0,3,4,7,0,a0R
0,0,3,4,7,1,a0R
0,0,3,4,7,2,a0R
0,0,3,4,7,3,a0R
0,0,3,4,8,0,a0R
0,0,3,4,8,1,a0R
0,0,3,4,8,2,a0b1
0,0,3,4,8,3,a0R
0,0,3,4,9,0,a0R
0,0,3,4,9,1,a0R
0,0,3,4,9,2,a0R
0,0,3,4,9,3,a0R
0,0,3,5,0,0,a0U
0,0,3,5,0,1,a0U
0,0,3,5,0,2,a0U
0,0,3,5,0,3,a0U
0,0,3,5,1,0,a0U
0,0,3,5,1,1,a0U
0,0,3,5,1,2,a0U
0,0,3,5,1,3,a0R
0,0,3,5,2,0,a0R
0,0,3,5,2,1,a0R
0,0,3,5,2,2,a0R
0,0,3,5,2,3,a0U
0,0,3,5,3,0,a0U
0,0,3,5,3,1,a0U
0,0,3,5,3,2,a0U
0,0,3,5,3,3,a0U
0,0,3,5,4,0,a0U
0,0,3,5,4,1,a0U
0,0,3,5,4,2,a0b1
0,0,3,5,4,3,a0U
0,0,3,5,5,0,a0U
0,0,3,5,5,1,a0b1
0,0,3,5,5,2,a0b1
0,0,3,5,5,3,a0b1
0,0,3,5,6,0,a0b1
0,0,3,5,6,1,a0R
0,0,3,5,6,2,a0b1
0,0,3,5,6,3,a0R
0,0,3,5,7,0,a0R
0,0,3,5,7,1,a0R
0,0,3,5,7,2,a0R
0,0,3,5,7,3,a0R
0,0,3,5,8,0,a0R
0,0,3,5,8,1,a0R
0,0,3,5,8,2,a0R
0,0,3,5,8,3,a0R
0,0,3,5,9,0,a0R
0,0,3,5,9,1,a0R
0,0,3,5,9,2,a0R
0,0,3,5,9,3,a0R
0,0,3,6,0,0,a0U
0,0,3,6,0,1,a0U
0,0,3,6,0,2,a0U
0,0,3,6,0,3,a0U
0,0,3,6,1,0,a0U
0,0,3,6,1,1,a0U
0,0,3,6,1,2,a0U
0,0,3,6,1,3,a0R
0,0,3,6,2,0,a0U
0,0,3,6,2,1,a0U
0,0,3,6,2,2,a0U
0,0,3,6,2,3,a0U
0,0,3,6,3,0,a0U
0,0,3,6,3,1,a0U
0,0,3,6,3,2,a0U
0,0,3,6,3,3,a0b0
0,0,3,6,4,0,a0U
0,0,3,6,4,1,a0U
0,0,3,6,4,2,a0U
0,0,3,6,4,3,a0U
0,0,3,6,5,0,a0U
0,0,3,6,5,1,a0U
0,0,3,6,5,2,a0b1
0,0,3,6,5,3,a0U
0,0,3,6,6,0,a0b1
0,0,3,6,6,1,a0R
0,0,3,6,6,2,a0b1
0,0,3,6,6,3,a0b1
0,0,3,6,7,0,a0b1
0,0,3,6,7,1,a0b1
0,0,3,6,7,2,a0R
0,0,3,6,7,3,a0R
0,0,3,6,8,0,a0R
0,0,3,6,8,1,a0R
0,0,3,6,8,2,a0R
0,0,3,6,8,3,a0R
0,0,3,6,9,0,a0R
0,0,3,6,9,1,a0R
0,0,3,6,9,2,a0R
0,0,3,6,9,3,a0R
0,0,3,7,0,0,a0U
0,0,3,7,0,1,a0U
0,0,3,7,0,2,a0U
0,0,3,7,0,3,a0U
0,0,3,7,1,0,a0U
0,0,3,7,1,1,a0U
0,0,3,7,1,2,a0U
0,0,3,7,1,3,a0R
0,0,3,7,2,0,a0R
0,0,3,7,2,1,a0R
0,0,3,7,2,2,a0R
0,0,3,7,2,3,a0U
0,0,3,7,3,0,a0U
0,0,3,7,3,1,a0U
0,0,3,7,3,2,a0U
0,0,3,7,3,3,a0b0
0,0,3,7,4,0,a0U
0,0,3,7,4,1,a0U
0,0,3,7,4,2,a0U
0,0,3,7,4,3,a0U
0,0,3,7,5,0,a0U
0,0,3,7,5,1,a0U
0,0,3,7,5,2,a0U
0,0,3,7,5,3,a0U
0,0,3,7,6,0,a0U
0,0,3,7,6,1,a0U
0,0,3,7,6,2,a0U
0,0,3,7,6,3,a0U
0,0,3,7,7,0,a0b1
0,0,3,7,7,1,a0b1
0,0,3,7,7,2,a0b1
0,0,3,7,7,3,a0R
0,0,3,7,8,0,a0R
0,0,3,7,8,1,a0R
0,0,3,7,8,2,a0b1
0,0,3,7,8,3,a0b1
0,0,3,7,9,0,a0R
0,0,3,7,9,1,a0R
0,0,3,7,9,2,a0R
0,0,3,7,9,3,a0b1
0,0,3,8,0,0,a0U
0,0,3,8,0,1,a0U
0,0,3,8,0,2,a0U
0,0,3,8,0,3,a0U
0,0,3,8,1,0,a0U
0,0,3,8,1,1,a0U
0,0,3,8,1,2,a0U
0,0,3,8,1,3,a0R
0,0,3,8,2,0,a0R
0,0,3,8,2,1,a0R
0,0,3,8,2,2,a0R
0,0,3,8,2,3,a0U
0,0,3,8,3,0,a0U
0,0,3,8,3,1,a0U
0,0,3,8,3,2,a0U
0,0,3,8,3,3,a0b0
0,0,3,8,4,0,a0U
0,0,3,8,4,1,a0U
0,0,3,8,4,2,a0U
0,0,3,8,4,3,a0U
0,0,3,8,5,0,a0U
0,0,3,8,5,1,a0U
0,0,3,8,5,2,a0U
0,0,3,8,5,3,a0U
0,0,3,8,6,0,a0U
0,0,3,8,6,1,a0U
0,0,3,8,6,2,a0U
0,0,3,8,6,3,a0U
0,0,3,8,7,0,a0U
0,0,3,8,7,1,a0U
0,0,3,8,7,2,a0U
0,0,3,8,7,3,a0U
0,0,3,8,8,0,a0b1
0,0,3,8,8,1,a0b1
0,0,3,8,8,2,a0b1
0,0,3,8,8,3,a0b1
0,0,3,8,9,0,a0R
0,0,3,8,9,1,a0R
0,0,3,8,9,2,a0R
0,0,3,8,9,3,a0b1
0,0,3,9,0,0,a0U
0,0,3,9,0,1,a0U
0,0,3,9,0,2,a0U
0,0,3,9,0,3,a0U
0,0,3,9,1,0,a0U
0,0,3,9,1,1,a0U
0,0,3,9,1,2,a0U
0,0,3,9,1,3,a0R
0,0,3,9,2,0,a0U
0,0,3,9,2,1,a0U
0,0,3,9,2,2,a0U
0,0,3,9,2,3,a0U
0,0,3,9,3,0,a0U
0,0,3,9,3,1,a0U
0,0,3,9,3,2,a0U
0,0,3,9,3,3,a0R
0,0,3,9,4,0,a0U
0,0,3,9,4,1,a0U
0,0,3,9,4,2,a0U
0,0,3,9,4,3,a0U
0,0,3,9,5,0,a0U
0,0,3,9,5,1,a0U
0,0,3,9,5,2,a0U
0,0,3,9,5,3,a0U
0,0,3,9,6,0,a0U
0,0,3,9,6,1,a0U
0,0,3,9,6,2,a0U
0,0,3,9,6,3,a0U
0,0,3,9,7,0,a0U
0,0,3,9,7,1,a0U
0,0,3,9,7,2,a0U
0,0,3,9,7,3,a0U
0,0,3,9,8,0,a0U
0,0,3,9,8,1,a0U
0,0,3,9,8,2,a0U
0,0,3,9,8,3,a0U
0,0,3,9,9,0,a0b1
0,0,3,9,9,1,a0b1
0,0,3,9,9,2,a0b1
0,0,3,9,9,3,a0b1
0,1,0,0,0,0,a1U
0,1,0,0,0,1,a1U
0,1,0,0,0,2,a1U
0,1,0,0,0,3,a1U
0,1,0,0,2,0,a1a0
0,1,0,0,2,1,a1a0
0,1,0,0,2,2,a1a0
0,1,0,0,2,3,a1a0
0,1,0,0,3,0,a1a0
0,1,0,0,3,1,a1a0
0,1,0,0,3,2,a1a0
0,1,0,0,3,3,a1a0
0,1,0,0,4,0,a1a0
0,1,0,0,4,1,a1a0
0,1,0,0,4,2,a1a0
0,1,0,0,4,3,a1a0
0,1,0,0,5,0,a1a0
0,1,0,0,5,1,a1a0
0,1,0,0,5,2,a1a0
0,1,0,0,5,3,a1a0
0,1,0,0,6,0,a1a0
0,1,0,0,6,1,a1a0
0,1,0,0,6,2,a1a0
0,1,0,0,6,3,a1a0
0,1,0,0,7,0,a1a0
0,1,0,0,7,1,a1a0
0,1,0,0,7,2,a1a0
0,1,0,0,7,3,a1a0
0,1,0,0,8,0,a1a0
0,1,0,0,8,1,a1a0
0,1,0,0,8,2,a1a0
0,1,0,0,8,3,a1a0
0,1,0,0,9,0,a1a0
0,1,0,0,9,1,a1a0
0,1,0,0,9,2,a1a0
0,1,0,0,9,3,a1a0
0,1,0,1,0,0,a1b2
0,1,0,1,0,1,a1R
0,1,0,1,0,2,a1R
0,1,0,1,0,3,a1a2
0,1,0,1,1,0,a1b0
0,1,0,1,1,1,a1b0
0,1,0,1,1,2,a1b0
0,1,0,1,1,3,a1b0
0,1,0,1,2,0,a1b1
0,1,0,1,2,1,a1b1
0,1,0,1,2,2,a1b1
0,1,0,1,2,3,a1b1
0,1,0,1,3,0,a1b2
0,1,0,1,3,1,a1b2
0,1,0,1,3,2,a1b2
0,1,0,1,3,3,a1b2
0,1,0,1,4,0,a1b2
0,1,0,1,4,1,a1b2
0,1,0,1,4,2,a1b2
0,1,0,1,4,3,a1b2
0,1,0,1,5,0,a1b2
0,1,0,1,5,1,a1b2
0,1,0,1,5,2,a1b2
0,1,0,1,5,3,a1b2
0,1,0,1,6,0,a1b2
0,1,0,1,6,1,a1b2
0,1,0,1,6,2,a1b2
0,1,0,1,6,3,a1b2
0,1,0,1,7,0,a1b2
0,1,0,1,7,1,a1b2
0,1,0,1,7,2,a1b2
0,1,0,1,7,3,a1b2
0,1,0,1,8,0,a1b2
0,1,0,1,8,1,a1b2
0,1,0,1,8,2,a1b2
0,1,0,1,8,3,a1b2
0,1,0,1,9,0,a1b2
0,1,0,1,9,1,a1b2
0,1,0,1,9,2,a1b2
0,1,0,1,9,3,a1b2
0,1,0,2,0,0,a1R
0,1,0,2,0,1,a1R
0,1,0,2,0,2,a1R
0,1,0,2,0,3,a1b2
0,1,0,2,1,0,a1R
0,1,0,2,1,1,a1R
0,1,0,2,1,2,a1R
0,1,0,2,1,3,a1R
0,1,0,2,2,0,a1b1
0,1,0,2,2,1,a1b1
0,1,0,2,2,2,a1a0
0,1,0,2,2,3,a1b0
0,1,0,2,3,0,a1b2
0,1,0,2,3,1,a1b2
0,1,0,2,3,2,a1a0
0,1,0,2,3,3,a1b0
0,1,0,2,4,0,a1b2
0,1,0,2,4,1,a1b2
0,1,0,2,4,2,a1a2
0,1,0,2,4,3,a1b1
0,1,0,2,5,0,a1b2
0,1,0,2,5,1,a1b2
0,1,0,2,5,2,a1a2
0,1,0,2,5,3,a1b1
0,1,0,2,6,0,a1b1
0,1,0,2,6,1,a1b2
0,1,0,2,6,2,a1a2
0,1,0,2,6,3,a1b1
0,1,0,2,7,0,a1b2
0,1,0,2,7,1,a1b2
0,1,0,2,7,2,a1a2
0,1,0,2,7,3,a1b2
0,1,0,2,8,0,a1b2
0,1,0,2,8,1,a1b2
0,1,0,2,8,2,a1a2
0,1,0,2,8,3,a1b1
0,1,0,2,9,0,a1b2
0,1,0,2,9,1,a1b2
0,1,0,2,9,2,a1a2
0,1,0,2,9,3,a1b2
0,1,0,3,0,0,a1R
0,1,0,3,0,1,a1R
0,1,0,3,0,2,a1R
